Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
0,122,122,0,20,0,10,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,123,123,0,20,0,10,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,124,124,0,20,0,10,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,125,125,0,20,0,10,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,126,126,0,20,0,10,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,127,127,0,20,0,10,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,128,128,2,22,1,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,129,129,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,130,130,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,131,131,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,132,132,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,133,133,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,134,134,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,135,135,0,22,0,11,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,136,136,2,24,1,12,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_1,M_1
0,137,137,0,24,0,12,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1,M_1,M_1,M_1,M_1
